Category,Account NO,Customer Name,Group,Post Code,Region,Sales Person
Regional Retailer,1100595, McConechy's Tyre Service Limited ,Other,ML5 3RD,Scotland,jon.brett@kumhotire.com
Regional Retailer,1099612, Redpath Tyres Ltd (PCR) ,Regional,TD11 3HS,Scotland,jon.brett@kumhotire.com
Regional Retailer,1083315, Tyrespot Limited ,Regional,DH3 2AF,North East,jon.brett@kumhotire.com
Independent Retailer,1084432, Preston Tyre Specialists  ,KPP,PR2 2QS,North West,jon.brett@kumhotire.com
Independent Retailer,1084701, Preston Tyre Specialists (PCR) ,KPP,PR2 2QS,North West,jon.brett@kumhotire.com
Independent Retailer,1084860, Huw Lewis Tyres ,KPP,SY23 3JQ,Wales,jon.brett@kumhotire.com
Independent Retailer,1086974, Angus Tyres Limited ,KPP,DD11 1AL,Scotland,jon.brett@kumhotire.com
Independent Retailer,1087436, Border Tyres Ltd  ,KPP,TD15 1TB,Scotland,jon.brett@kumhotire.com
Independent Retailer,1087501, Lou's Tyres Limited ,KPP,DN16 1AR,Yorkshire & Humberside,jon.brett@kumhotire.com
Independent Retailer,1087946, North Lincs Tyres Limited ,KPP,DN31 3LS,Yorkshire & Humberside,jon.brett@kumhotire.com
Independent Retailer,1091098, Colin's Tyres & MOT Service Centre ,KPP,AB21 7DT,Scotland,jon.brett@kumhotire.com
Independent Retailer,1107838, Oatlands Tyre & Motor Company Ltd ,KPP,HG2 8DQ,Yorkshire & Humberside,jon.brett@kumhotire.com
Independent Retailer,1108796, Combined Tyres ,KPP,CW7 3QN,North West,jon.brett@kumhotire.com
Independent Retailer,1109011, Express Tyre Service ,KPP,DG11 2HS,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115701, Pit-Lane (Ellon) Ltd ,KPP,AB41 9RF,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115724, Tyremann (Scotland) Limited ,KPP,AB30 1DG,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115725, Ostles (Scotland) Limited ,KPP,TD1 2BP,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115726, Craig Motors Limited ,KPP,TD9 8AL,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115745, Hectyre ,KPP,DD4 7DF,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115751, Crewe Tyre & Exhaust Limited ,KPP,CW1 3ER,North West,jon.brett@kumhotire.com
Independent Retailer,1115786, Cottage Street Garage Limited ,KPP,SK11 8DZ,North West,jon.brett@kumhotire.com
Independent Retailer,1115827, Auchinlea Tyres Limited ,KPP,ML1 5RX,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115828, Abbotsinch Tyres & Exhausts Ltd ,KPP,KA1 4AT,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115876, Target Auto Parts Limited ,KPP,GY1 2RF,Channel Islands,jon.brett@kumhotire.com
Independent Retailer,1115877, Inverness Tyre Services Limited ,KPP,IV3 8EX,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115878, Tyre & Autocare Services ,KPP,AB55 5EZ,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115880, BS Tyre & Auto ,KPP,IV30 6NB,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115881, Maghull Tyre & Exhaust Limited ,KPP,L31 2HA,North West,jon.brett@kumhotire.com
Independent Retailer,1115882, Pennine Service Station Limited ,KPP,BB2 7HZ,North West,jon.brett@kumhotire.com
Independent Retailer,1115883, A1 Tyres (Scotland) Limited ,KPP,G74 4HQ,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115884, Empress Tyres ,KPP,BB5 1DD,North West,jon.brett@kumhotire.com
