Account no,Title,Contact,Address 1,Address 2,Address 3,Town,County,Post Code,Region,Telephone,Email,Website
1115744,A D TYRES,Andy Doriano,Unit 2 Millie Street,,,Kirkcaldy,Fife,KY1 2NL,Scotland,01592 641725,chris@apdtyres.plus.com,
1115989,A D Tyres (Wholesale) Ltd,David and Angela Foster,52 Carrwood Road,Sheepbridge,,Chesterfield,Derbyshire,S41 9QB,Yorks & Humber,01226 260899,darren@adtyres.co.uk,adtyres.co.uk
1115992,A&A TYRE SERVICE,Gareth Cook,The Garage,Maes-Y-Ffynnon Lane,,Aberdare,Mid Glamorgan,CF44 6EJ,South Wales,01685 876 017,aa.aberdare@btconnect.com,www.aberdaretyres.com
1102751,A1 TYRE SERVICES,Leon Winterbottom,1a Great Union Street,,,Hull,East Riding of Yorkshire,HU9 1AL,Yorks & Humber,01482 707384,info@a1tyreservices.co.uk,https://www.a1tyreservices.co.uk/
1115883,A1 TYRES,Robbie Smith,St Bryde Street,,,Glasgow,Lanarkshire,G74 4HQ,Scotland,01355 228008,tyres@a1tyres.biz,www.eastkilbridetyrescentre.com
1116022,A14 TYRES,Alan McKenzie,1 Fornham Road,,,Bury St Edmunds,Suffolk,IP32 6AH,East,01284 765000,tyres@a14tyres.biz,www.a14tyres.moonfruit.com
1083871,A2 TYRE SERVICE CENTRE,Kevin Lorton,Unit 3,2 Trinity Trading Estate,,Sittingbourne,Kent,ME10 2PG,South East,01795 475200,a2tyres@yahoo.co.uk,www.a2tyres.co.uk
1115993,A590 TYRES,Mike Heaton,4 Biggar Village,Walney Island,,Barrow In Furness,Cumbria,LA14 3YG,North West,0784 2088180,a590tyres@gmail.com,
1115828,ABBOTSINCH TYRES & EXHAUSTS,Andrew Findlay,17 James Little Street Ind Est,,,Kilmarnock,Ayrshire,KA1 4AT,Scotland,01563 531 967,sales@abbotsinch.com,abbotsinch.com
1098825,ADDISON TYRES,Jason Addison,52A High Street,Princes End,,Tipton,West Midlands,DY4 9HP,West Midlands,0121 557 4019,sales@addisontyrecentre.co.uk,www.discounttyresuk.co.uk
1083234,AKW TYRE SERVICES,Andrew White,Bancombe Court ,Somerton Business Park,,Somerton,Somerset,TA11 6SB,South West,01458 274800,aktyres@btconnect.com,
1085564,ALLTYRES TRADING LTD,Ronan O'Connell,Units 7/8/9 Woodford Trading Estate,Southend Road,,Woodford Green,Essex,IG8 8HF,South East,020 8551 0033,ronan@alltyres.co.uk,www.alltyres.co.uk
1087436,ALNWICK TYRES,George & David Meakin,South Road,,,Alnwick,Northumberland,NE66 2PD,North East,01655 510143,alnwicktyres@hotmail.co.uk,
1083797,AMS TYRES & AUTOCENTRE,Steve Phillips,3 Trusham Road,Marsh Barton Ind Est,,Exeter,Devon,EX2 8NW,South West,01392 424666,Steve@amstyres.co.uk,www.amstyres.co.uk
1083236,ANDY'S TYRES,Andrew Johnson,Steeple Road,,,Prestatyn,Denbighshire,LL19 7HA,North Wales,01745 854732,prestatyn@andystyres.co.uk,www.tyresnorthwales.co.uk
1086974,ANGUS TYRES,Graham Annandale,15 Queen Street,,,Forfar,Angus,DD8 3AJ,Scotland,01307 467089,angustyres@uk2.net,www.angustyres.com
1118718,APEX TYRES,Mark Skipworth,1152 Lincoln Road,,,Peterborough,Cambridgeshire,PE4 6LQ,East,01733 575921,mark.skipworth@ntlworld.com,www.apextyres.org.uk
1115704,ASHTON TYRE SPECIALISTS,Jon-Dave,Adlington Industrial Estate,,,Macclesfield,Cheshire,SK10 4NL,North West,01625 859123,ashtontyres@btconnect.com,www.ashtontyres.co.uk
1115827,AUCHINLEA TYRES,Donna Shelley,Unit 140-142  Newhouse Industrial Estate,Block 15,,Motherwell,Lanarkshire,ML1 5RX,Scotland,01698 733 006,auchinleatyres@hotmail.com,
1117815,AUTO EXHAUSTS & TYRES,Peter Zaplatyuskij,47/53 Chieftain Way,Tritton Road,,Lincoln,Lincolnshire,LN6 7RY,East Midlands,01522 530414,autoexhausts@btconnect.com,www.autoexhaustandtyres.co.uk
1084007,AUTOCARE,Paul Hoy,Unit 13-14 Fairways,Brookfield Centre,,Cheshunt,Hertfordshire,EN8 0NJ,London,01992 638811,paul.hoy@hotmail.co.uk,http://autocaregroup.co.uk
1084004,AUTOCARE,Paul Hoy,Watton Rd,,,Ware,Hertfordshire,SG12 0AD,South East,01920 465951,autocare.ware@hotmail.co.uk,http://autocaregroup.co.uk
1115997,AUTOPOINT MOT CENTRE,Chris Turbitt,8 Carlyon Road,,,Atherstone,Warwickshire,CV9 1LQ,West Midlands,01827 718554,chris@autopointmotcentre.co.uk,
1115880,B S TYRE & AUTO,Blair Sinclair,12 Chanonry Road North,,,Elgin,Morayshire,IV30 6NB,Scotland,01343 569325,blair@blairsinclair.orangehome.co.uk,
1090519,BASSETT & SLUGGETT,Richard,Unit 6,Tamar Technology Park,River Tamar Way,Holsworthy,Devon,EX22 6EW,South West,01409 253301,richard@bassettandsluggett.co.uk,www.bassettandsluggett.co.uk
1083255,BMTR,Mike Jones,103-115 Walsall Road,Perry Barr,,Birmingham,West Midlands,B42 1TU,West Midlands,0845 6801549,retail@bmtr.co.uk,www.birminghammotortyre.co.uk
1083255,BMTR,Mike Jones,Station Road,,,Coleshill,West Midlands,B46 1HT,West Midlands,01675 463256,retail@bmtr.co.uk,www.birminghammotortyre.co.uk
1115830,Bob's Tyres,Jim Howard,Blacknell Lane Trading Estate,,,Crewkerne,Somerset,TA18 7HE,South West,01460 72037,bobstyres@bobstyresltd.com,www.bobstyresltd.com
1087436,BORDER TYRES,George & David Meakin,Unit 8,North Road Ind Estate,,Berwick Upon Tweed,Northumberland,TD15 1UN,Scotland,01289 302691,bordertyres@yahoo.co.uk,
1117690,BORO TYRES,Adam Beston,Seamer Road,,,Scarborough,North Yorkshire,YO12 4BT,Yorks & Humber,01723 376153,sales@borotyres.co.uk,www.borotyres.co.uk
1115792,BOWER LANE TYRES,Craig Tutt,Bower Lane Garages,Bower Lane,,Maidstone,Kent,ME16 8EJ,South East,01622 687466,craigtutt@live.co.uk,https://www.bowerlane-tyres.co.uk/
1116451,BRECKLAND TYRE SERVICES,Karl Coan,8 Industrial Estate,Station Road,,Attleborough,Norfolk,NR17 2NP,East,01953 457168,sales@brecklandtyreservices.co.uk,
1115743,BRIDGE TYREHOUSE,Geoff Brown,Eddystone Road,,,Wadebridge,Cornwall,PL27 7AL,South West,01208 813080,,
1084855,BRIGHTON TYRES & EXHAUSTS,David Diamond,14 Richmond Parade,,,Brighton,East Sussex,BN2 9QD,South East,01273 697678,enquiries@brighton-tyres.co.uk,www.brighton-tyres.co.uk
1117861,BROOKOS OF BOTLEY LTD,Paul Brooks,Unit 14 Curtis Yard,Botley Works,,Oxford,Oxfordshire,OX2 0LX,South East,01865 248882,belles1995@gmail.com,brookostyres.co.uk
1116206,BRUNEL TYRES & AUTOCARE,Stephen Benton,Unit 8-8b,Ashley Hill Trading Estate,,Bristol,Avon,BS2 9XS,South West,01179 555510,sales@bruneltyres.com,www.bruneltyres.com
1116246,BUDGET TYRES,Steve Perie,Station Yard,,,Kendal,Cumbria,LA9 6BT,North West,01539 722244,sperie@hotmail.co.uk,
1100771,BUILTH WELLS TYRES,Rod Morgan,Lion Garage,,,Builth Wells,Powys,LD2 3BN,South Wales,01982 551689,rodmorganltd@yahoo.com,
1083246,CARNABY TYRES,Gordon Ridley,Unit 6f Carnaby Industrial Estate,Lancaster Road,,Bridlington,North Humberside,YO15 3QY,Yorks & Humber,01262 604506,carnabytyres@aol.co.uk,www.carnabytyres.co.uk
1083868,CASTLE TYRES,Alan,Unit 21,Castlefields Trading Estate,,Bingley,West Yorkshire,BD16 2AF,Yorks & Humber,01274 561332,service@castletyresbingley.co.uk,www.castletyresbingley.co.uk
1121730,Chalky Whites Repairs and Service Ltd,Craig White,16A Watling Street,Fenny Stratford,,Milton Keynes,Buckinghamshire,MK2 2BL,South East,01908 448170,craig@chalkywhites.com,
1115699,CHALLENGE TYRE & EXHAUST CENTRE,Ivan Wolsey,42/44 Union Street,,,Trowbridge,Wiltshire,BA14 8RY,South West,01225 777725,iolsel@mail.com,
1126405,CHECKPOINT TYRE & AUTO (DEVIZES)   ,,42 New Park Street,,,Devizes,Wiltshire,SN10 1DT,South West,01985 215148,sales@checkpointtyres.co.uk,www.checkpointwarminster.co.uk
1115700,CHECKPOINT WARMINSTER,,Woodcock Industrial Estate,Woodcock Road,,Warminster,Wiltshire,BA12 9DX,South West,01380 724455,sales@checkpointtyres.co.uk,www.checkpointwarminster.co.uk
1084422,CHEDDAR TYRE SUPPLIES,Gary Mayo,1a Valley Line Industrial Park,Wedmore Road,,Cheddar,Somerset,BS27 3EE,South West,01934 742390,craigw@hotmail.com,
1115989,CHESTERFIELD TYRES & EXHAUST,David Foster,Unit 30-31,Station Lane Industrial Estate,,Chesterfield,Derbyshire,S41 9QX,Yorks & Humber,01246 454095,ctyres@adtyres.co.uk,www.chesterfieldtyreandexhaustservices.co.uk
1126489,Chris Mullins Tyres,John Price,325 Bristol Road,,,Gloucester,Gloucestershire,GL2 5DN,South West,01452 529537,john.price@chrismullins.co.uk,https://www.chrismullins.co.uk/
1115995,CLINTON GARAGE,Laky Saikhon,Clinton Lane,,,Kenilworth,Warwickshire,CV8 1AS,West Midlands,01926 853167,spa.motors@btconnect.com,www.clintongarage.co.uk
1116104,COLE AND DAY,William Day,7 High Street,,,Somersham,Cambridgeshire,PE28 3JA,East,01487 840278,coleandday@aol.com,
1115789,COLWALL MOT AND TYRE CENTRE,Daryl South,7 Station Yard Industrial Estate,Colwall,,Malvern,Worcestershire,WR13 6RN,West Midlands,01684 540066,colwallmot@hotmail.com,
1108796,COMBINED TYRES,Mike Kingston,Road 4 Winsford Industrial Estate,,,Winsford,Cheshire,CW7 3QN,North West,01606 550573,combinedtyres@btconnect.com,www.combinedtyres.co.uk
